OTU_ID	cardio_health_status	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;unclassified	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;unclassified	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;unclassified	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
MI_001_H	Abnormal	0.0120850024	0.0005431462	0	0.0323171974	0.1010251884	0.007739833	0	0.0027157309	0.065449114	0.0094371648	0	0.0045488492	0.0002036798	0.0010862923	6.78932717767669E-05	0	0	0.0025799443	0	0.0015615453	0.0002036798	0	0	0	0.0025120511	0	0.0012899722	0.0263425894	0	0.0086903388	0.0520741395	0	0.1190169054	0	0.0002036798	0.2001493652	0.2349107203	0.0142575871	0	0.0006789327	0	0.0004752529	0.0004752529	0	0	0.0017652251	0	0.001493652	0.0137823342	0	0	0	0.056215629	0.0241021115
MI_002_H	Healthy	0.0973616786	0.0013849456	6.92472820441798E-05	0.016203864	0.0493733121	0.0102485977	0	0.002700644	0.005886019	0.0045703206	0	0.0002077418	0	0	0	0	0.0005539783	0.0002769891	0	0.0008309674	0.0010387092	0	6.92472820441798E-05	6.92472820441798E-05	0.0011772038	0.0043625788	0	0.0020081712	0	0.0578214805	0.0404404127	0.0004154837	0.1171664012	0.0029083858	0.000484731	0.1542136971	0.0172425732	0.0011079565	0	0.0153036493	0	0	0	0	0.0006232255	0.0044318261	0	0.0819195347	6.92472820441798E-05	0	0	0.0013849456	0.0364933176	0.269579669
MI_003_H	Healthy	0	0.0033456005	0.0008698561	0.206490465	0.1203747073	0.000066912	0	0.000066912	0.0066242891	0	0	0	0	0	0	0	0	0.000200736	0	0	0.000133824	0	0.0003345601	0.0015389762	0	0.000133824	0	0.1036467046	0	0	0.112612914	0	0.0495817999	0	0	0.3227166276	0.0015389762	0.0004014721	0.0003345601	0.0161927066	0	0.000200736	0.000066912	0.000133824	0	0	0	0.050050184	0.0023419204	0	0	0	0	0
MI_006_H	Abnormal	0.0741371094	0.0006807815	0	0.0810810811	0.0585472122	0.0057866431	0	0.0003403908	0.0010211723	0.0013615631	0.0002723126	0.0001361563	0.0001361563	0	0	0	0.0024508135	0.0003403908	0	0.0002723126	0	0.0019742665	0	0	0	0	0	0.0024508135	0	0.0126625366	0.0570494928	6.80781537204711E-05	0.2239771257	0	0.0117094424	0.3063516917	0.0191299612	0.007080128	0	0.0349240929	0	0.0002042345	0	0	0	0	0.0041527674	0.0010211723	0.0001361563	0	0	0.0001361563	0.065559262	0.0248485261
MI_007_H	Abnormal	0	0.0003357733	0.0001343093	0.0454637029	0.0394197838	0.0483513532	0	0.0075213216	0.1915922369	0.0065811564	0	0.0014102478	0.0007387012	0	0	0	0.0007387012	0	0	0.0012759385	0	0	6.71546571754751E-05	0	0	0	0	0.0031562689	0	0	0.009401652	0	0.1380028205	0	0.0071855483	0.2797663018	0.1448525955	0.0022832583	0	0.0538580351	0	6.71546571754751E-05	6.71546571754751E-05	0	0	0	0	0.0016788664	0.0024175677	0	0	0	0.0136323954	0
MI_008_H1	Healthy	6.72314105149926E-05	0.0016135539	0.0007395455	0.0064542154	0.128075837	0.0094123975	0	0.0005378513	0.0226569853	0.0036304962	0	0.0002689256	0.0003361571	0.002622025	0	0	0	0.010151943	0	0.0007395455	0	0.001479091	0.0006723141	0.0005378513	0.0001344628	0	0	0.0581551701	0	0.0005378513	0.0467258303	0	0.0957375286	0	0.0186903321	0.2927255614	0.0155976872	0.0053112814	6.72314105149926E-05	0.0584240957	0	0.0010757026	0.0002016942	0.0001344628	0	0.0006723141	0	0.214871588	0.0003361571	0	0	0	0	0.0006050827
MI_009_H	Abnormal	0.010636163	0.0005351529	0.0004013646	0.0206702789	0.2043614958	0.0071576694	0	0	0.0197337615	6.6894106629206E-05	0	0	0	0.0033447053	0	0	0	0.0002006823	0	0.0001337882	0	0.0006689411	0.0002675764	0	0	0	0	0.0095658572	0.0040136464	6.6894106629206E-05	0.1448257409	0	0.0354538765	0.0013378821	0	0.4857850023	0.0024750819	0.0010034116	6.6894106629206E-05	0.0151180681	0.0002006823	0.0004013646	0.0004682587	0	0	0	0	0.0049501639	0	0	0	0	0.0003344705	0.0257542311
MI_010_H	Abnormal	0.000203749	0.0010866612	0.004142896	0.0125645205	0.0706329802	0.0055012225	0	0.0006112469	0.0894458028	0.0006791633	0.0023091551	0.0002716653	0.0002716653	0.0095082858	0	0	0	0.0007470796	0	0.0003395816	0	0.0004754143	0.0010187449	0.0023770714	0	0.0012224939	0.0069953817	0.1104998642	0.0001358327	0.0007470796	0.0421081228	0	0.1295843521	0.000203749	0.0505976637	0.2842977452	0.0046183102	0.0006791633	0.0013583265	0.0259440369	0	0	0	0	0	0	0.0024449878	0.0029204021	0.0569817984	0	0	6.79163270850312E-05	0.0755229557	0.0008829123
MI_011_H	Healthy	0.0001353638	0.0089340102	6.76818950930626E-05	0.3496446701	0.0322165821	0.0152961083	0	0.0030456853	0.0006091371	0.0008798646	0	0	0.0004737733	0.0024365482	0	0	0	0.0015566836	0	0	0.0004737733	0	0.0009475465	0.0010152284	0.0096108291	6.76818950930626E-05	0	0.1321827411	0	0.0005414552	0.0383756345	0.0002030457	0.0718781726	0	0.0140101523	0.1139763113	0.0026395939	0.0016920474	0.0007445008	0.0026395939	6.76818950930626E-05	0.0004060914	0.0002030457	0	0	0.0011505922	0	0.1122165821	0.0010152284	0.0002030457	0	0	0.0718104907	0.0066328257
MI_012_H	Abnormal	0	0.0019396696	0	0.0022740954	0.0246806234	0.0051501572	0	6.68851581833991E-05	0.0126412949	0.0022072102	0.0002675406	0.0003344258	6.68851581833991E-05	0	0	0	6.68851581833991E-05	6.68851581833991E-05	0	0	0	6.68851581833991E-05	0.0013377032	0.0014714735	0.0001337703	0	0	0.0189284998	0.0017390141	6.68851581833991E-05	0.0171894857	0	0.0521035382	0	0	0.8032238646	0.0132432613	0.0010032774	0	0.0020065547	0.0003344258	0.0041468798	0	0	0	0	0	0.0030767173	0.0104340847	0	0	0	0.0078255635	0.0119055582
