OTUs	PC1_nutr	PC2_nutr	PC3_nutr	Fiber	Cholesterol	VitB12	CHO	Proteins	Fats_nutr	PC1_fg	PC2_fg	PC3_fg	Dairy	Meats	Eggs	Beans	Fruits	Vegetables	Cereals	Tubers	Sugars	Nuts	Fats_fg	UP_opt	UP_pes	HEI	GABA	Phylum	Class	Order	Family	Genus	Species
Otu00001	0	0.043	0	0	0	0	0	0	0.073	-0.042	0	0	0	-0.009	0	0	0	0	-0.085	0	0.041	0	0	0.052	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
Otu00002	0	0.059	-0.012	0	0.106	0	0	0	0.087	-0.043	0.083	0.028	0.032	0	0.001	0	0	0	-0.117	0	0	0	0	0.017	-0.026	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
Otu00003	0	0	0.034	0.167	0	0	0	0	0	-0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	formicilis
Otu00004	0	0	0	-0.069	0	0	-0.046	0	0	0	0.027	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	-0.043	0	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli
Otu00005	0.048	0	-0.021	0	0	0	0.052	0.09	0	0	0	0	0	0.049	0	0	0	0	0.019	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu00006	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	-0.048	0	0	0	0	0	0	0	0	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
Otu00007	0	-0.142	0	0	0	0	0	0	0	0	-0.11	0	0	-0.147	0	0	0	0	0	0	0	0	0	0.061	0.061	0	0	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis
Otu00008	-0.039	-0.128	0	0	-0.133	-0.078	0	0	-0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu00009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	hormaechei
Otu00010	0	0	0	0	0	-0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	celatum
